geocodigo_1,geocodigo_2,distancia,AER,FER,HID,ROD,FRO
2927408,2903904,4.912525177168078,True,False,False,False,False
2927408,2911709,4.456532383587554,True,False,False,False,False
2927408,2913606,1.91728091025593,True,False,False,False,False
2927408,2919306,2.9178849807030116,True,False,False,False,False
2927408,2925303,3.5174983138927205,True,False,False,False,False
2927408,2932507,2.3918136804338004,True,False,False,False,False
2927408,2933307,3.0069790633564066,True,False,False,False,False
2927408,3106200,8.80808776188092,True,False,False,False,False
2927408,3205309,7.563484387890786,True,False,False,False,False
2927408,3509502,13.243362025595973,True,False,False,False,False
2927408,3543402,12.40959746008685,True,False,False,False,False
2927408,3549805,13.413566110238726,True,False,False,False,False
2927408,3549904,12.61449968839118,True,False,False,False,False
2927408,4106902,16.486432688197787,True,False,False,False,False
2927408,4108304,20.381121326943806,True,False,False,False,False
2927408,4205407,17.741500688655307,True,False,False,False,False
2927408,4314902,21.28852099192846,True,False,False,False,False
2927408,5002704,17.775662122057657,True,False,False,False,False
2927408,5103403,17.792063170927964,True,False,False,False,False
2927408,5208707,11.38883292644241,True,False,False,False,False
2903201,2933307,4.979619392363012,True,False,False,False,False
5300108,3104007,3.915570858659681,True,False,False,False,False
3106200,1100205,22.7797862945719,True,False,False,False,False
3106200,1200401,25.80574015905525,True,False,False,False,False
3106200,1302603,23.242999728707815,True,False,False,False,False
3106200,1501402,18.988631570329193,True,False,False,False,False
3106200,1504208,15.432532298453536,True,False,False,False,False
3106200,1505536,15.04339913781317,True,False,False,False,False
3106200,1702109,13.390900466128135,True,False,False,False,False
3106200,2111300,17.350892633324133,True,False,False,False,False
3106200,2304400,17.05444222397699,True,False,False,False,False
3106200,2408102,16.54661665052738,True,False,False,False,False
3106200,2507507,15.668578780255528,True,False,False,False,False
3106200,2605459,19.74522040717134,True,False,False,False,False
3106200,2611606,14.922837644035472,True,False,False,False,False
3106200,2704302,13.149587495906323,True,False,False,False,False
3106200,2800308,11.306440351571503,True,False,False,False,False
3106200,2913606,7.0560416463316225,True,False,False,False,False
3106200,2925303,5.979241160497047,True,False,False,False,False
3106200,2932507,6.701860142648815,True,False,False,False,False
3106200,2933307,5.916864427732659,True,False,False,False,False
3106200,3104007,3.0058504541886055,True,False,False,False,False
3106200,3121605,1.6792321940059305,True,False,False,False,False
3106200,3127701,2.243177789712477,True,False,False,False,False
3106200,3131307,1.4763119521808672,True,False,False,False,False
3106200,3134202,5.599723961836917,True,False,False,False,False
3106200,3136702,1.9575029240390298,True,False,False,False,False
3106200,3143302,3.165680561850828,True,False,False,False,False
3106200,3148004,2.8814338664731722,True,False,False,False,False
3106200,3162500,1.2783519413358435,True,False,False,False,False
3106200,3164704,3.208072923457902,True,False,False,False,False
3106200,3170107,3.985346837899738,True,False,False,False,False
3106200,3170206,4.433474658933179,True,False,False,False,False
3106200,3205309,3.6649643187691594,True,False,False,False,False
3106200,3300704,3.560449866420361,True,False,False,False,False
3106200,3509502,4.457907918167375,True,False,False,False,False
3106200,3541406,7.765965354854704,True,False,False,False,False
3106200,3543402,4.067557211780589,True,False,False,False,False
3106200,3549805,5.506521373182959,True,False,False,False,False
3106200,3549904,3.8318031914067,True,False,False,False,False
3106200,4104808,10.769497143515522,True,False,False,False,False
3106200,4106902,7.696781497016139,True,False,False,False,False
3106200,4108304,12.010292518434916,True,False,False,False,False
3106200,4115200,8.728306538483013,True,False,False,False,False
3106200,4205407,8.97108164466759,True,False,False,False,False
3106200,4209102,8.062912361934623,True,False,False,False,False
3106200,4211306,8.433821208011532,True,False,False,False,False
3106200,4314902,12.485691727936015,True,False,False,False,False
3106200,5002704,10.68276056184054,True,False,False,False,False
3106200,5003702,11.101845782687814,True,False,False,False,False
3106200,5103403,12.881917896756786,True,False,False,False,False
3106200,5208707,6.1975499077563185,True,False,False,False,False
3106200,5218805,7.284859922394108,True,False,False,False,False
3127701,3509502,6.630945300152593,True,False,False,False,False
3131307,3127701,0.8353432067202681,True,False,False,False,False
3131307,3509502,5.802643979214592,True,False,False,False,False
5300108,3135100,4.56999329907798,True,False,False,False,False
3162500,3136702,1.087992833965859,True,False,False,False,False
3170701,3136702,2.0805495299287107,True,False,False,False,False
3300704,3136702,1.7492903670317117,True,False,False,False,False
3509502,3136702,3.969493945350078,True,False,False,False,False
3549904,3136702,2.9087376099682687,True,False,False,False,False
3121605,3143302,1.5446180711090722,True,False,False,False,False
3131307,3143302,3.044485001651007,True,False,False,False,False
3301009,3143302,5.644713113018024,True,False,False,False,False
3148004,3104007,1.0783932223649313,True,False,False,False,False
3170107,3148004,1.8319536268487389,True,False,False,False,False
3164704,5204508,3.5647100609742983,True,False,False,False,False
1505536,3170107,13.827134085917477,True,False,False,False,False
3170107,1702109,12.566530860048154,True,False,False,False,False
3170107,2925303,9.467895254718446,True,False,False,False,False
3170107,3104007,1.008035447085606,True,False,False,False,False
3170107,3131307,5.405385888401655,True,False,False,False,False
1505536,3170206,12.949054771882592,True,False,False,False,False
1702109,3170206,11.723814067231581,True,False,False,False,False
1721000,3170206,8.725229071300959,True,False,False,False,False
3131307,3170206,5.766192558835736,True,False,False,False,False
3134202,3170206,1.2062231687281004,True,False,False,False,False
3143302,3170206,4.929940308729022,True,False,False,False,False
3170107,3170206,0.9070171932190172,True,True,False,True,True
3509502,3170206,4.2665380942036695,True,False,False,False,False
3543402,3170206,2.306766141610805,True,False,False,False,False
5218805,3170206,2.8798605903972625,True,False,False,False,False
3106200,3170701,2.222988957627603,True,False,False,False,False
3170701,3304557,2.6172603521692896,True,False,False,False,False
1400100,3205309,30.819855091020298,True,False,False,False,False
2605459,3205309,18.250360314557746,True,False,False,False,False
3205309,2704302,11.622364480913662,True,False,False,False,False
3205309,2913606,5.649946094123672,True,False,False,False,False
3205309,2925303,4.067135934585812,True,False,False,False,False
3205309,3127701,2.1890232048107947,True,False,False,False,False
3131307,3205309,2.3817836969244044,True,False,False,False,False
3300704,3205309,3.0840818010594218,True,False,False,False,False
3301009,3205309,1.759845022817794,True,False,False,False,False
3302403,3205309,2.528941451641949,True,False,False,False,False
3543402,3205309,7.548343740273392,True,False,False,False,False
4115200,3205309,12.031020669382047,True,False,False,False,False
5103403,3205309,16.475780640590678,True,False,False,False,False
5208707,3205309,9.655278083718345,True,False,False,False,False
3300704,3509502,5.102363149938338,True,False,False,False,False
3300704,4106902,7.6889781630008445,True,False,False,False,False
3300704,4314902,11.660158412817356,True,False,False,False,False
3301009,3302403,0.7697828809339521,True,False,False,False,False
3304557,1100205,25.018293540642237,True,False,False,False,False
1302603,3304557,25.99452914592205,True,False,False,False,False
1400100,3304557,31.107088510536773,True,False,False,False,False
1501402,3304557,22.103342362252157,True,False,False,False,False
1505536,3304557,18.124827757051815,True,False,False,False,False
3304557,1506807,23.494915328851125,True,False,False,False,False
3304557,1600303,24.2635138937732,True,False,False,False,False
1600709,3304557,25.612849193760553,True,False,False,False,False
1721000,3304557,13.714178572720714,True,False,False,False,False
2111300,3304557,20.39570106204104,True,False,False,False,False
2211001,3304557,17.820418934545085,True,False,False,False,False
2304400,3304557,19.749569308735463,True,False,False,False,False
2307304,3304557,16.18491537050961,True,False,False,False,False
3304557,2408102,18.847471508497147,True,False,False,False,False
2504009,3304557,17.29711443867569,True,False,False,False,False
2507507,3304557,17.84856070511573,True,False,False,False,False
2605459,3304557,21.88762971146942,True,False,False,False,False
3304557,2611101,13.791854390021873,True,False,False,False,False
3304557,2611606,17.037048646149124,True,False,False,False,False
3304557,2704302,15.234538146445814,True,False,False,False,False
2800308,3304557,13.464560579699876,True,False,False,False,False
3304557,2913606,9.100293170963637,True,False,False,False,False
3304557,2925303,7.674113571111487,True,False,False,False,False
2927408,3304557,10.993076406351069,True,False,False,False,False
2932507,3304557,8.6612747263673,True,False,False,False,False
3105608,3304557,1.7912596452362088,True,False,False,False,False
3106200,3304557,3.114724963195491,True,False,False,False,False
3131307,3304557,3.506703024908387,True,False,False,False,False
3304557,3136702,1.1672049722822158,True,False,False,False,False
3162500,3304557,2.0689797267250865,True,False,False,False,False
3170107,3304557,5.693071583913473,True,False,False,False,False
3304557,3170206,6.463537188012561,True,False,False,False,False
3304557,3205309,3.8806742612070813,True,False,False,False,False
3300100,3304557,1.1182261823760866,True,False,False,False,False
3300233,3304557,1.258328812883415,True,False,False,False,False
3300704,3304557,1.1745749970911123,True,False,False,False,False
3301009,3304557,2.2058521463732617,True,False,False,False,False
3302403,3304557,1.5127378279468635,True,False,False,False,False
3304557,3303807,1.5561758306577897,True,False,False,False,False
3304557,3509502,3.9277931975217686,True,False,False,False,False
3304557,3541406,8.23182409660112,True,False,False,False,False
3543402,3304557,4.930430538999546,True,False,False,False,False
3549805,3304557,6.528681555765556,True,False,False,False,False
3549904,3304557,2.7064644223693417,True,False,False,False,False
3304557,4106902,6.582792365515481,True,False,False,False,False
4108304,3304557,11.660976274749897,True,False,False,False,False
4113700,3304557,7.98398567188637,True,False,False,False,False
4115200,3304557,8.754870213780812,True,False,False,False,False
3304557,4205407,7.109544495998617,True,False,False,False,False
4211306,3304557,6.756456867668744,True,False,False,False,False
3304557,4314902,10.737279299820315,True,False,False,False,False
5002704,3304557,11.682305773450972,True,False,False,False,False
5103403,3304557,14.830821222599603,True,False,False,False,False
5208707,3304557,8.685889553199937,True,False,False,False,False
5300108,3304557,8.530945453070881,True,False,False,False,False
3170107,3502804,2.888780105167543,True,False,False,False,False
3502804,3529005,1.1167784023699598,True,False,False,False,False
3543402,3505500,0.9799005126093915,True,False,False,False,False
3506003,3502804,1.762276932648218,True,False,False,False,False
3506003,3529005,0.8907446291087041,True,False,False,False,False
1302603,3509502,23.737676144930145,True,False,False,False,False
3509502,1506807,21.94295883206418,True,False,False,False,False
2111300,3509502,20.689465002747834,True,False,False,False,False
2211001,3509502,18.4435366378715,True,False,False,False,False
2408102,3509502,20.907601941983774,True,False,False,False,False
2507507,3509502,20.075210631017967,True,False,False,False,False
2704302,3509502,17.585865629188653,True,False,False,False,False
2800308,3509502,15.734869007900947,True,False,False,False,False
3509502,2925303,10.402244967621838,True,False,False,False,False
3205309,3509502,7.329363158698689,True,False,False,False,False
3502804,3509502,3.7777391944384093,True,False,False,False,False
3506003,3509502,2.066268139851295,True,False,False,False,False
3529005,3509502,2.9394740034448605,True,False,False,False,False
3549805,3509502,3.1567639956332596,True,False,False,False,False
4104808,3509502,6.621662134711927,True,False,False,False,False
4108304,3509502,7.846651874845106,True,False,False,False,False
4113700,3509502,4.057839530892577,True,False,False,False,False
4115200,3509502,4.830072798040041,True,False,False,False,False
3509502,4205407,4.788870698060408,True,False,False,False,False
4209102,3509502,3.7017202186749705,True,False,False,False,False
4211306,3509502,4.158699235721299,True,False,False,False,False
5002704,3509502,7.921804972218128,True,False,False,False,False
5003702,3509502,7.727157223538995,True,False,False,False,False
5103403,3509502,11.649909836126806,True,False,False,False,False
5204508,3509502,5.488674323886787,True,False,False,False,False
5208707,3509502,6.680685578369528,True,False,False,False,False
3543402,3529005,2.373982308274427,True,False,False,False,False
